job_title,experience_level,employment_type,company_location,company_size,education_required,years_experience,industry,company_name,monthly_salary,remote_state,SQL,Tableau,Spark,Python,Computer Vision,Deep Learning,Azure,Data Visualization,GCP,Scala,Git,PyTorch,Hadoop,Linux,NLP,TensorFlow,Statistics,R,Mathematics,Kubernetes,Docker,MLOps,AWS,Java
AI Architect,Executive,Contract,South Korea,Small <50,Master,15,Manufacturing,TechCorp Inc,9587.25,No remote,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AI Consultant,Senior,Contract,France,Medium 50-250,PhD,5,Automotive,Predictive Systems,10362.916666666666,Fully remote,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Autonomous Systems Engineer,Entry,Contract,Norway,Small <50,Master,0,Energy,Cloud AI Solutions,5730.0,No remote,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AI Research Scientist,Senior,Full Time,Sweden,Medium 50-250,Associate,6,Technology,Advanced Robotics,12510.166666666666,Fully remote,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AI Product Manager,Entry,Part Time,United Kingdom,Large >250,PhD,0,Consulting,DataVision Ltd,6570.5,No remote,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Principal Data Scientist,Entry,Full Time,India,Large >250,Bachelor,1,Real Estate,Predictive Systems,4985.25,Fully remote,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Machine Learning Engineer,Executive,Contract,France,Large >250,Associate,15,Real Estate,AI Innovations,15094.916666666666,Fully remote,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Data Engineer,Senior,Contract,Singapore,Medium 50-250,Associate,9,Finance,Algorithmic Solutions,12941.666666666666,No remote,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Research Scientist,Mid,Part Time,Netherlands,Large >250,PhD,4,Transportation,AI Innovations,7820.916666666667,Fully remote,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
Data Engineer,Mid,Full Time,Norway,Medium 50-250,Bachelor,3,Telecommunications,AI Innovations,11183.083333333334,No remote,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Autonomous Systems Engineer,Mid,Part Time,United States,Medium 50-250,Bachelor,2,Automotive,Cognitive Computing,8545.833333333334,No remote,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
ML Ops Engineer,Senior,Contract,Germany,Small <50,PhD,7,Automotive,Quantum Computing Inc,8281.833333333334,No remote,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
AI Product Manager,Mid,Full Time,Austria,Medium 50-250,Master,4,Telecommunications,Cloud AI Solutions,4347.25,Fully remote,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
ML Ops Engineer,Mid,Full Time,China,Small <50,Bachelor,2,Healthcare,AI Innovations,4493.583333333333,No remote,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Robotics Engineer,Senior,Part Time,Israel,Large >250,PhD,6,Government,DataVision Ltd,9148.25,Fully remote,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
ML Ops Engineer,Mid,Contract,Australia,Small <50,Master,2,Media,TechCorp Inc,6748.25,Hybrid,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Data Analyst,Mid,Part Time,Austria,Medium 50-250,PhD,2,Government,Predictive Systems,4416.416666666667,No remote,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0
Head of AI,Entry,Contract,Ireland,Medium 50-250,PhD,0,Healthcare,Cognitive Computing,3568.25,Hybrid,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
ML Ops Engineer,Mid,Contract,Israel,Large >250,Master,2,Retail,Future Systems,6840.25,Fully remote,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Head of AI,Entry,Full Time,Netherlands,Medium 50-250,Master,1,Retail,Advanced Robotics,5624.0,Fully remote,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Research Scientist,Entry,Full Time,Denmark,Medium 50-250,Master,1,Real Estate,Cloud AI Solutions,5718.666666666667,No remote,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robotics Engineer,Senior,Full Time,Switzerland,Small <50,PhD,7,Real Estate,Cognitive Computing,12237.666666666666,Hybrid,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ML Ops Engineer,Executive,Freelance,Finland,Medium 50-250,Associate,16,Education,Predictive Systems,14848.583333333334,No remote,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Deep Learning Engineer,Senior,Freelance,Sweden,Large >250,PhD,8,Consulting,Smart Analytics,12572.0,No remote,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
Head of AI,Executive,Contract,Finland,Large >250,Associate,10,Finance,Autonomous Tech,10578.5,No remote,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
AI Architect,Mid,Part Time,Japan,Medium 50-250,Associate,2,Telecommunications,TechCorp Inc,4479.333333333333,Fully remote,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Robotics Engineer,Executive,Contract,Israel,Small <50,Master,18,Government,Autonomous Tech,9281.75,No remote,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
AI Specialist,Entry,Part Time,China,Medium 50-250,Bachelor,1,Healthcare,Future Systems,3452.5,Hybrid,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Data Engineer,Executive,Freelance,Netherlands,Large >250,Associate,15,Government,DeepTech Ventures,13840.0,Fully remote,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Mid,Full Time,United States,Medium 50-250,Bachelor,2,Telecommunications,DataVision Ltd,8079.666666666667,No remote,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AI Architect,Senior,Freelance,United States,Large >250,Bachelor,8,Finance,DataVision Ltd,16412.833333333332,Hybrid,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
AI Specialist,Entry,Part Time,Finland,Large >250,Associate,1,Telecommunications,Quantum Computing Inc,4728.75,Fully remote,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Machine Learning Researcher,Senior,Full Time,Singapore,Medium 50-250,Associate,8,Retail,AI Innovations,9454.583333333334,Hybrid,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
ML Ops Engineer,Senior,Part Time,Netherlands,Medium 50-250,Bachelor,5,Media,Future Systems,13234.0,Hybrid,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
AI Research Scientist,Senior,Contract,United States,Medium 50-250,Associate,7,Media,DeepTech Ventures,14555.25,Hybrid,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
AI Research Scientist,Entry,Contract,India,Small <50,PhD,1,Manufacturing,Quantum Computing Inc,3896.0833333333335,Hybrid,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AI Software Engineer,Mid,Freelance,China,Large >250,Bachelor,4,Energy,TechCorp Inc,5751.666666666667,No remote,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AI Specialist,Executive,Part Time,Switzerland,Small <50,Bachelor,12,Manufacturing,Cognitive Computing,24067.916666666668,No remote,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
AI Consultant,Executive,Freelance,Austria,Medium 50-250,PhD,19,Media,Autonomous Tech,10405.916666666666,Hybrid,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0
AI Architect,Mid,Full Time,Germany,Small <50,PhD,4,Government,TechCorp Inc,5865.916666666667,No remote,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Research Scientist,Executive,Full Time,India,Medium 50-250,Master,17,Technology,Autonomous Tech,9614.666666666666,Fully remote,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0
Research Scientist,Mid,Part Time,United States,Small <50,Associate,3,Gaming,Cognitive Computing,8881.583333333334,Fully remote,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Data Scientist,Senior,Part Time,Norway,Small <50,PhD,8,Consulting,DataVision Ltd,11269.166666666666,Fully remote,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
Research Scientist,Mid,Part Time,Israel,Small <50,Master,4,Media,Quantum Computing Inc,5633.916666666667,Hybrid,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
AI Architect,Mid,Part Time,Canada,Large >250,Associate,3,Real Estate,Autonomous Tech,7372.5,No remote,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Autonomous Systems Engineer,Mid,Freelance,India,Large >250,Associate,4,Automotive,Autonomous Tech,6655.25,Fully remote,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Machine Learning Engineer,Entry,Part Time,Israel,Large >250,PhD,0,Finance,Advanced Robotics,5024.916666666667,Fully remote,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
Machine Learning Engineer,Mid,Full Time,Germany,Medium 50-250,Associate,4,Transportation,AI Innovations,7137.083333333333,No remote,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
AI Software Engineer,Senior,Freelance,United Kingdom,Small <50,Associate,8,Media,TechCorp Inc,9185.166666666666,No remote,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Data Scientist,Entry,Full Time,China,Medium 50-250,Associate,1,Finance,Predictive Systems,4113.75,No remote,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Data Scientist,Senior,Part Time,Norway,Small <50,Bachelor,6,Finance,Neural Networks Co,13524.666666666666,Hybrid,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AI Consultant,Mid,Part Time,Switzerland,Medium 50-250,PhD,3,Education,Smart Analytics,8531.833333333334,No remote,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
AI Software Engineer,Mid,Part Time,Australia,Medium 50-250,PhD,4,Technology,Cloud AI Solutions,8331.0,Hybrid,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
Data Engineer,Entry,Contract,South Korea,Large >250,Bachelor,0,Manufacturing,Machine Intelligence Group,5344.083333333333,No remote,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
AI Specialist,Senior,Full Time,Ireland,Small <50,PhD,8,Education,Machine Intelligence Group,7328.166666666667,Fully remote,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Autonomous Systems Engineer,Mid,Freelance,Israel,Large >250,Associate,4,Retail,Advanced Robotics,5950.416666666667,No remote,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
Machine Learning Engineer,Executive,Part Time,Denmark,Medium 50-250,Associate,12,Finance,Digital Transformation LLC,26348.5,No remote,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Machine Learning Researcher,Entry,Part Time,Germany,Medium 50-250,Bachelor,0,Gaming,Quantum Computing Inc,6038.25,Fully remote,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Principal Data Scientist,Mid,Full Time,France,Large >250,Associate,3,Technology,Cognitive Computing,6528.166666666667,Fully remote,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
NLP Engineer,Mid,Freelance,Israel,Medium 50-250,Bachelor,4,Healthcare,Neural Networks Co,4325.583333333333,Fully remote,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Autonomous Systems Engineer,Senior,Freelance,France,Small <50,Master,7,Real Estate,Algorithmic Solutions,10235.916666666666,Fully remote,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Machine Learning Researcher,Mid,Freelance,Norway,Small <50,Associate,3,Real Estate,Cognitive Computing,10401.666666666666,Hybrid,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
Autonomous Systems Engineer,Senior,Part Time,United Kingdom,Small <50,PhD,9,Retail,Machine Intelligence Group,11183.333333333334,Hybrid,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Data Engineer,Entry,Part Time,Sweden,Small <50,PhD,0,Consulting,Digital Transformation LLC,4326.666666666667,Fully remote,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Data Engineer,Entry,Freelance,Singapore,Medium 50-250,Master,0,Energy,DeepTech Ventures,4702.25,Fully remote,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
AI Product Manager,Executive,Full Time,Canada,Small <50,Bachelor,16,Energy,Quantum Computing Inc,17815.25,Fully remote,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
ML Ops Engineer,Mid,Freelance,Israel,Medium 50-250,Associate,2,Finance,DataVision Ltd,4977.333333333333,Hybrid,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Computer Vision Engineer,Senior,Contract,India,Large >250,PhD,6,Technology,Autonomous Tech,9952.666666666666,No remote,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
AI Research Scientist,Executive,Contract,United States,Medium 50-250,Master,12,Consulting,TechCorp Inc,23707.166666666668,No remote,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Data Analyst,Executive,Contract,France,Large >250,Bachelor,17,Manufacturing,Neural Networks Co,13133.083333333334,Hybrid,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1
ML Ops Engineer,Executive,Contract,Australia,Large >250,Master,19,Gaming,TechCorp Inc,16411.833333333332,Fully remote,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
Machine Learning Researcher,Executive,Contract,Canada,Medium 50-250,PhD,10,Energy,Cognitive Computing,17295.666666666668,No remote,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NLP Engineer,Mid,Freelance,Sweden,Small <50,PhD,3,Automotive,TechCorp Inc,5736.5,Hybrid,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ML Ops Engineer,Executive,Freelance,Finland,Large >250,PhD,13,Telecommunications,TechCorp Inc,10472.166666666666,Fully remote,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
NLP Engineer,Entry,Full Time,Denmark,Medium 50-250,Associate,0,Finance,Machine Intelligence Group,6097.833333333333,Hybrid,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Autonomous Systems Engineer,Entry,Contract,Israel,Small <50,Bachelor,0,Manufacturing,Future Systems,2776.1666666666665,Hybrid,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
AI Specialist,Entry,Full Time,United States,Small <50,Associate,0,Transportation,Smart Analytics,5826.166666666667,Fully remote,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Principal Data Scientist,Executive,Freelance,France,Medium 50-250,Master,11,Automotive,AI Innovations,12676.5,Hybrid,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
AI Software Engineer,Entry,Contract,France,Large >250,PhD,0,Real Estate,Digital Transformation LLC,6501.166666666667,Hybrid,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Research Scientist,Entry,Part Time,Canada,Small <50,Bachelor,0,Automotive,Predictive Systems,4038.8333333333335,Fully remote,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Data Analyst,Senior,Contract,France,Small <50,PhD,8,Technology,Algorithmic Solutions,8166.416666666667,Hybrid,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
Principal Data Scientist,Senior,Freelance,Singapore,Small <50,Bachelor,9,Finance,Neural Networks Co,10695.083333333334,No remote,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
AI Research Scientist,Mid,Freelance,United States,Large >250,PhD,3,Real Estate,Predictive Systems,9294.0,No remote,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
Machine Learning Researcher,Executive,Part Time,Canada,Small <50,Master,19,Education,DeepTech Ventures,11578.75,Hybrid,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0
NLP Engineer,Senior,Full Time,Israel,Medium 50-250,Bachelor,8,Manufacturing,Cognitive Computing,8224.0,Hybrid,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
Data Analyst,Senior,Full Time,France,Small <50,Bachelor,6,Technology,Predictive Systems,9085.75,No remote,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
NLP Engineer,Mid,Full Time,Canada,Medium 50-250,Master,4,Real Estate,Machine Intelligence Group,7066.416666666667,No remote,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Machine Learning Researcher,Executive,Contract,Switzerland,Large >250,Master,12,Retail,Smart Analytics,24183.25,Hybrid,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
AI Research Scientist,Senior,Contract,United States,Large >250,PhD,8,Transportation,Advanced Robotics,16307.583333333334,No remote,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
AI Product Manager,Senior,Full Time,Norway,Large >250,Associate,9,Consulting,Cognitive Computing,16120.666666666666,Fully remote,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
AI Product Manager,Executive,Part Time,Israel,Large >250,Associate,16,Government,Smart Analytics,11538.833333333334,Fully remote,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Data Analyst,Mid,Contract,Netherlands,Medium 50-250,Bachelor,3,Transportation,Algorithmic Solutions,7631.416666666667,Fully remote,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
Computer Vision Engineer,Mid,Full Time,Sweden,Small <50,PhD,3,Real Estate,Digital Transformation LLC,7739.583333333333,No remote,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,Executive,Full Time,United Kingdom,Small <50,Master,13,Healthcare,Cloud AI Solutions,17773.916666666668,Fully remote,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
NLP Engineer,Mid,Full Time,Japan,Small <50,Bachelor,2,Consulting,AI Innovations,5180.916666666667,No remote,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
AI Research Scientist,Executive,Freelance,South Korea,Large >250,Associate,16,Automotive,TechCorp Inc,12721.5,Hybrid,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
ML Ops Engineer,Mid,Full Time,Norway,Medium 50-250,Associate,2,Retail,Predictive Systems,7923.75,Fully remote,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Deep Learning Engineer,Mid,Freelance,France,Small <50,PhD,2,Government,AI Innovations,7229.166666666667,Fully remote,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
AI Specialist,Mid,Part Time,Israel,Medium 50-250,Master,2,Transportation,TechCorp Inc,5355.083333333333,No remote,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Machine Learning Researcher,Executive,Part Time,United States,Small <50,Bachelor,18,Education,Predictive Systems,17113.083333333332,Fully remote,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
AI Architect,Executive,Contract,France,Small <50,Associate,18,Government,Neural Networks Co,13806.333333333334,Hybrid,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Computer Vision Engineer,Senior,Contract,France,Medium 50-250,Bachelor,9,Telecommunications,Algorithmic Solutions,9554.833333333334,Fully remote,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Senior,Freelance,France,Large >250,Master,6,Real Estate,Digital Transformation LLC,11929.083333333334,Hybrid,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
Machine Learning Researcher,Senior,Freelance,Germany,Small <50,Bachelor,7,Technology,Future Systems,9689.666666666666,Hybrid,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
NLP Engineer,Entry,Freelance,United States,Medium 50-250,Bachelor,0,Retail,Autonomous Tech,5087.916666666667,Fully remote,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
ML Ops Engineer,Entry,Full Time,Austria,Large >250,Master,0,Gaming,DataVision Ltd,4191.916666666667,Fully remote,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Data Analyst,Senior,Freelance,Ireland,Small <50,Associate,7,Retail,Smart Analytics,5464.166666666667,Hybrid,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
AI Software Engineer,Executive,Freelance,Singapore,Medium 50-250,Bachelor,17,Consulting,Neural Networks Co,19256.5,Hybrid,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
AI Product Manager,Senior,Full Time,Australia,Medium 50-250,Bachelor,9,Automotive,Algorithmic Solutions,8886.083333333334,Fully remote,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
AI Specialist,Senior,Freelance,Austria,Large >250,Master,9,Media,Quantum Computing Inc,10098.333333333334,No remote,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
Principal Data Scientist,Entry,Part Time,China,Large >250,PhD,0,Retail,Smart Analytics,5377.583333333333,Hybrid,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Machine Learning Engineer,Mid,Contract,Singapore,Large >250,PhD,4,Automotive,DataVision Ltd,10471.166666666666,Hybrid,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Machine Learning Researcher,Executive,Full Time,Austria,Large >250,PhD,14,Technology,DeepTech Ventures,15189.583333333334,No remote,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
Machine Learning Researcher,Mid,Freelance,Denmark,Large >250,PhD,4,Transportation,Neural Networks Co,9809.0,No remote,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Data Engineer,Executive,Full Time,South Korea,Small <50,Master,11,Healthcare,Future Systems,11937.166666666666,No remote,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
